# columns: m1/T[GeV^-1]	<sigmaV>(GeV^-2)
1.00000000e-01	4.13566445e-14
1.10175281e-01	3.40856213e-14
1.21385926e-01	2.80952751e-14
1.33737286e-01	2.31598924e-14
1.47345431e-01	1.90939901e-14
1.62338243e-01	1.57442463e-14
1.78856616e-01	1.29845036e-14
1.97055780e-01	1.07108210e-14
2.17106760e-01	8.83756284e-15
2.39197984e-01	7.29417535e-15
2.63537052e-01	6.02253125e-15
2.90352688e-01	4.97474130e-15
3.19896892e-01	4.11135129e-15
3.52447300e-01	3.39985653e-15
3.88309805e-01	2.81347799e-15
4.27821420e-01	2.33014524e-15
4.71353453e-01	1.93170112e-15
5.19314994e-01	1.60301081e-15
5.72156756e-01	1.33207631e-15
6.30375315e-01	1.10854602e-15
6.94517777e-01	9.24055477e-16
7.65186915e-01	7.71708855e-16
8.43046837e-01	6.45970191e-16
9.28829225e-01	5.41867723e-16
1.02334021e+00	4.55718460e-16
1.12746796e+00	3.84354496e-16
1.24219100e+00	3.25165993e-16
1.36858742e+00	2.76013910e-16
1.50784505e+00	2.35129132e-16
1.66127252e+00	2.01032054e-16
1.83031168e+00	1.72594453e-16
2.01655104e+00	1.48797576e-16
2.22174078e+00	1.28837286e-16
2.44780916e+00	1.12074349e-16
2.69688063e+00	9.79202806e-17
2.97129582e+00	8.59204199e-17
3.27363353e+00	7.57381726e-17
3.60673495e+00	6.70785240e-17
3.97373038e+00	5.96768350e-17
4.37806863e+00	5.33285253e-17
4.82354943e+00	4.78646031e-17
5.31435916e+00	4.31450933e-17
5.85511016e+00	3.90532552e-17
6.45088409e+00	3.54928574e-17
7.10727970e+00	3.23842589e-17
7.83046540e+00	2.96611072e-17
8.62723729e+00	2.72680186e-17
9.50508296e+00	2.51587763e-17
1.04722519e+01	2.32950887e-17
1.15378330e+01	2.16421109e-17
1.27118400e+01	2.01735065e-17
1.40053055e+01	1.88657088e-17
1.54303847e+01	1.76986536e-17
1.70004698e+01	1.66551911e-17
1.87303154e+01	1.57206034e-17
2.06361777e+01	1.48822100e-17
2.27359668e+01	1.41290423e-17
2.50494154e+01	1.34515765e-17
2.75982639e+01	1.28415499e-17
3.04064649e+01	1.22916205e-17
3.35004083e+01	1.17954602e-17
3.69091691e+01	1.13474576e-17
4.06647809e+01	1.09426566e-17
4.48025368e+01	1.05766860e-17
4.93613210e+01	1.02456085e-17
5.43839743e+01	9.94597338e-18
5.99176967e+01	9.67473194e-18
6.60144909e+01	9.42901540e-18
7.27316511e+01	9.20641291e-18
8.01323013e+01	9.00466584e-18
8.82859884e+01	8.82179299e-18
9.72693362e+01	8.65599589e-18
1.07166765e+02	8.50565464e-18
1.18071285e+02	8.36930862e-18
1.30085370e+02	8.24563968e-18
1.43321923e+02	8.13345725e-18
1.57905331e+02	8.03168527e-18
1.73972643e+02	7.93935058e-18
1.91674849e+02	7.85557261e-18
2.11178304e+02	7.77955422e-18
2.32666291e+02	7.71057349e-18
2.56340741e+02	7.64797642e-18
2.82424133e+02	7.59117037e-18
3.11161583e+02	7.53961815e-18
3.42823149e+02	7.49283276e-18
3.77706369e+02	7.45037257e-18
4.16139055e+02	7.41183711e-18
4.58482375e+02	7.37686310e-18
5.05134247e+02	7.34512103e-18
5.56533078e+02	7.31631195e-18
6.13161884e+02	7.29016465e-18
6.75552832e+02	7.26643302e-18
7.44292233e+02	7.24489377e-18
8.20026062e+02	7.22534426e-18
9.03466021e+02	7.20760063e-18
9.95396231e+02	7.19149599e-18
1.09668060e+03	7.17687891e-18
1.20827094e+03	7.16361197e-18
1.33121590e+03	7.15157042e-18
1.46667087e+03	7.14064106e-18
1.61590875e+03	7.13072117e-18
1.78033202e+03	7.12171748e-18
1.96148581e+03	7.11354538e-18
2.16107251e+03	7.10612805e-18
2.38096772e+03	7.09939577e-18
2.62323788e+03	7.09328527e-18
2.89015972e+03	7.08773913e-18
3.18424160e+03	7.08270521e-18
3.50824714e+03	7.07813621e-18
3.86522116e+03	7.07398919e-18
4.25851829e+03	7.07022518e-18
4.69183451e+03	7.06680880e-18
5.16924187e+03	7.06370794e-18
5.69522678e+03	7.06089346e-18
6.27473213e+03	7.05833892e-18
6.91320378e+03	7.05602031e-18
7.61664172e+03	7.05391583e-18
8.39165644e+03	7.05200572e-18
9.24553110e+03	7.05027201e-18
1.01862899e+04	7.04869842e-18
1.12227736e+04	7.04727017e-18
1.23647224e+04	7.04597382e-18
