# columns: m1/T[GeV^-1]	<sigmaV>(GeV^-2)
1.00000000e-01	2.27372477e-06
1.10175281e-01	1.87510079e-06
1.21385926e-01	1.54575043e-06
1.33737286e-01	1.27383509e-06
1.47345431e-01	1.04948169e-06
1.62338243e-01	8.64474501e-07
1.78856616e-01	7.11989182e-07
1.97055780e-01	5.86365369e-07
2.17106760e-01	4.82913598e-07
2.39197984e-01	3.97752469e-07
2.63537052e-01	3.27671865e-07
2.90352688e-01	2.70018584e-07
3.19896892e-01	2.22600968e-07
3.52447300e-01	1.83609612e-07
3.88309805e-01	1.51551541e-07
4.27821420e-01	1.25195632e-07
4.71353453e-01	1.03527321e-07
5.19314994e-01	8.57111333e-08
5.72156756e-01	7.10595367e-08
6.30375315e-01	5.90070902e-08
6.94517777e-01	4.90889923e-08
7.65186915e-01	4.09232902e-08
8.43046837e-01	3.41961680e-08
9.28829225e-01	2.86498189e-08
1.02334021e+00	2.40724773e-08
1.12746796e+00	2.02902371e-08
1.24219100e+00	1.71603378e-08
1.36858742e+00	1.45656492e-08
1.50784505e+00	1.24090824e-08
1.66127252e+00	1.06143156e-08
1.83031168e+00	9.11553979e-09
2.01655104e+00	7.86006144e-09
2.22174078e+00	6.80479764e-09
2.44780916e+00	5.91454347e-09
2.69688063e+00	5.16054053e-09
2.97129582e+00	4.51930046e-09
3.27363353e+00	3.97163612e-09
3.60673495e+00	3.50186630e-09
3.97373038e+00	3.09688224e-09
4.37806863e+00	2.74681865e-09
4.82354943e+00	2.44260871e-09
5.31435916e+00	2.17731659e-09
5.85511016e+00	1.94501675e-09
6.45088409e+00	1.74087415e-09
7.10727970e+00	1.56087690e-09
7.83046540e+00	1.40168034e-09
8.62723729e+00	1.26048385e-09
9.50508296e+00	1.13493152e-09
1.04722519e+01	1.02307148e-09
1.15378330e+01	9.23118238e-10
1.27118400e+01	8.33687371e-10
1.40053055e+01	7.53537990e-10
1.54303847e+01	6.81600907e-10
1.70004698e+01	6.16950509e-10
1.87303154e+01	5.58781889e-10
2.06361777e+01	5.06392150e-10
2.27359668e+01	4.59165083e-10
2.50494154e+01	4.16558522e-10
2.75982639e+01	3.78093874e-10
3.04064649e+01	3.43347398e-10
3.35004083e+01	3.11942900e-10
3.69091691e+01	2.83545583e-10
4.06647809e+01	2.57856843e-10
4.48025368e+01	2.34609832e-10
4.93613210e+01	2.13565673e-10
5.43839743e+01	1.94510192e-10
5.99176967e+01	1.77251105e-10
6.60144909e+01	1.61615567e-10
7.27316511e+01	1.47448046e-10
8.01323013e+01	1.34608449e-10
8.82859884e+01	1.22970491e-10
9.72693362e+01	1.12420242e-10
1.07166765e+02	1.02854856e-10
1.18071285e+02	9.41814362e-11
1.30085370e+02	8.63160293e-11
1.43321923e+02	7.91827307e-11
1.57905331e+02	7.27128840e-11
1.73972643e+02	6.68443670e-11
1.91674849e+02	6.15209517e-11
2.11178304e+02	5.66917302e-11
2.32666291e+02	5.23106000e-11
2.56340741e+02	4.83358005e-11
2.82424133e+02	4.47294968e-11
3.11161583e+02	4.14574042e-11
3.42823149e+02	3.84884502e-11
3.77706369e+02	3.57944691e-11
4.16139055e+02	3.33499272e-11
4.58482375e+02	3.11316738e-11
5.05134247e+02	2.91187168e-11
5.56533078e+02	2.72920195e-11
6.13161884e+02	2.56343170e-11
6.75552832e+02	2.41299504e-11
7.44292233e+02	2.27647157e-11
8.20026062e+02	2.15257288e-11
9.03466021e+02	2.04013014e-11
9.95396231e+02	1.93808297e-11
1.09668060e+03	1.84546937e-11
1.20827094e+03	1.76141651e-11
1.33121590e+03	1.68513244e-11
1.46667087e+03	1.61589861e-11
1.61590875e+03	1.55306301e-11
1.78033202e+03	1.49603399e-11
1.96148581e+03	1.44427470e-11
2.16107251e+03	1.39729794e-11
2.38096772e+03	1.35466163e-11
2.62323788e+03	1.31596457e-11
2.89015972e+03	1.28084267e-11
3.18424160e+03	1.24896551e-11
3.50824714e+03	1.22003326e-11
3.86522116e+03	1.19377376e-11
4.25851829e+03	1.16994006e-11
4.69183451e+03	1.14830802e-11
5.16924187e+03	1.12867421e-11
5.69522678e+03	1.11085401e-11
6.27473213e+03	1.09467988e-11
6.91320378e+03	1.07999974e-11
7.61664172e+03	1.06667558e-11
8.39165644e+03	1.05458212e-11
9.24553110e+03	1.04360568e-11
1.01862899e+04	1.03364308e-11
1.12227736e+04	1.02460067e-11
1.23647224e+04	1.01639343e-11
1.36228676e+04	1.00894424e-11
1.50090328e+04	1.00218307e-11
1.65362441e+04	9.96046370e-12
1.82188534e+04	9.90476458e-12
2.00726730e+04	9.85420984e-12
2.21151240e+04	9.80832432e-12
2.43654001e+04	9.76667675e-12
2.68446481e+04	9.72887570e-12
2.95761666e+04	9.69456591e-12
3.25856248e+04	9.66342492e-12
3.59013038e+04	9.63516004e-12
3.95543624e+04	9.60950565e-12
4.35791301e+04	9.58622063e-12
4.80134292e+04	9.56508616e-12
5.28989308e+04	9.54590361e-12
5.82815458e+04	9.52849270e-12
6.42118571e+04	9.51268980e-12
7.07455942e+04	9.49834642e-12
7.79441575e+04	9.48532773e-12
8.58751948e+04	9.47351141e-12
9.46132376e+04	9.46278640e-12
1.04240401e+05	9.45305192e-12
1.14847155e+05	9.44421647e-12
1.26533176e+05	9.43619703e-12
1.39408283e+05	9.42891824e-12
1.53593468e+05	9.42231168e-12
1.69222035e+05	9.41631528e-12
1.86440853e+05	9.41087269e-12
2.05411735e+05	9.40593275e-12
2.26312957e+05	9.40144904e-12
2.49340937e+05	9.39737943e-12
2.74712079e+05	9.39368566e-12
3.02664806e+05	9.39033304e-12
3.33461802e+05	9.38729006e-12
3.67392478e+05	9.38452811e-12
4.04775697e+05	9.38202124e-12
4.45962763e+05	9.37974589e-12
4.91340729e+05	9.37768069e-12
5.41336030e+05	9.37580622e-12
5.96418495e+05	9.37410487e-12
6.57105755e+05	9.37256064e-12
7.23968114e+05	9.37115904e-12
7.97633907e+05	9.36988688e-12
8.78795401e+05	9.36873221e-12
9.68215306e+05	9.36768418e-12
1.06673394e+06	9.36673294e-12
1.17527712e+06	9.36586955e-12
1.29486487e+06	9.36508591e-12
1.42662102e+06	9.36437463e-12
1.57178372e+06	9.36372905e-12
1.73171713e+06	9.36314309e-12
1.90792422e+06	9.36261124e-12
2.10206088e+06	9.36212852e-12
2.31595149e+06	9.36169038e-12
2.55160607e+06	9.36129270e-12
2.81123917e+06	9.36093175e-12
3.09729067e+06	9.36060413e-12
3.41244871e+06	9.36030678e-12
3.75967497e+06	9.36003689e-12
4.14223247e+06	9.35979192e-12
4.56371628e+06	9.35956957e-12
5.02808725e+06	9.35936776e-12
5.53970928e+06	9.35918459e-12
6.10339029e+06	9.35901834e-12
6.72442742e+06	9.35886743e-12
7.40865683e+06	9.35873047e-12
8.16250851e+06	9.35860616e-12
8.99306672e+06	9.35849332e-12
9.90813657e+06	9.35839091e-12
1.09163173e+07	9.35829796e-12
1.20270833e+07	9.35821359e-12
1.32508729e+07	9.35813701e-12
1.45991865e+07	9.35806751e-12
1.60846948e+07	9.35800442e-12
1.77213578e+07	9.35794715e-12
1.95245558e+07	9.35789519e-12
2.15112343e+07	9.35784802e-12
2.37000629e+07	9.35780520e-12
2.61116110e+07	9.35776634e-12
2.87685409e+07	9.35773109e-12
3.16958209e+07	9.35769905e-12
3.49209598e+07	9.35767001e-12
3.84742658e+07	9.35764363e-12
4.23891306e+07	9.35761968e-12
4.67023439e+07	9.35759795e-12
5.14544388e+07	9.35757826e-12
5.66900727e+07	9.35756034e-12
6.24584471e+07	9.35754407e-12
6.88137699e+07	9.35752934e-12
7.58157646e+07	9.35751601e-12
8.35302320e+07	9.35750379e-12
9.20296681e+07	9.35749280e-12
1.01393946e+08	9.35748273e-12
1.11711065e+08	9.35747375e-12
1.23077980e+08	9.35746542e-12
1.35601511e+08	9.35745786e-12
1.49399346e+08	9.35745110e-12
1.64601150e+08	9.35744487e-12
1.81349780e+08	9.35743944e-12
1.99802631e+08	9.35743429e-12
2.20133111e+08	9.35742981e-12
2.42532274e+08	9.35742562e-12
2.67210616e+08	9.35742171e-12
2.94400048e+08	9.35741829e-12
3.24356081e+08	9.35741518e-12
3.57360225e+08	9.35741235e-12
3.93722633e+08	9.35740966e-12
4.33785019e+08	9.35740751e-12
4.77923865e+08	9.35740529e-12
5.26553963e+08	9.35740347e-12
5.80132310e+08	9.35740182e-12
6.39162405e+08	9.35739991e-12
7.04198979e+08	9.35739879e-12
7.75853206e+08	9.35739746e-12
8.54798453e+08	9.35739573e-12
9.41776601e+08	9.35739530e-12
1.03760502e+09	9.35739440e-12
1.14318425e+09	9.35739237e-12
1.25950646e+09	9.35739274e-12
1.38766479e+09	9.35739123e-12
1.52886359e+09	9.35739013e-12
1.68442976e+09	9.35739034e-12
1.85582523e+09	9.35738952e-12
2.04466067e+09	9.35739056e-12
2.25271064e+09	9.35738822e-12
2.48193029e+09	9.35738825e-12
2.73447368e+09	9.35738794e-12
3.01271407e+09	9.35738844e-12
3.31926620e+09	9.35738775e-12
3.65701088e+09	9.35738632e-12
4.02912203e+09	9.35738810e-12
4.43909653e+09	9.35738436e-12
4.89078709e+09	9.35738703e-12
5.38843844e+09	9.35738213e-12
5.93672722e+09	9.35738611e-12
6.54080591e+09	9.35738297e-12
7.20635132e+09	9.35738174e-12
7.93961785e+09	9.35738779e-12
8.74749630e+09	9.35738716e-12
9.63757866e+09	9.35738175e-12
1.06182294e+10	9.35737988e-12
1.16986641e+10	9.35739023e-12
1.28890361e+10	9.35738152e-12
1.42005318e+10	9.35737628e-12
1.56454759e+10	9.35739077e-12
1.72374471e+10	9.35738722e-12
1.89914058e+10	9.35737811e-12
2.09238348e+10	9.35738085e-12
2.30528939e+10	9.35738074e-12
2.53985907e+10	9.35739737e-12
2.79829688e+10	9.35739929e-12
3.08303146e+10	9.35738201e-12
3.39673858e+10	9.35737555e-12
3.74236629e+10	9.35737179e-12
4.12316259e+10	9.35735986e-12
4.54270599e+10	9.35740002e-12
5.00493910e+10	9.35741072e-12
5.51420574e+10	9.35740515e-12
6.07529169e+10	9.35739642e-12
